"Id","App #","Language","Behavior Type","Key","Type","Translation","Has Child","Parent","Value"
"661","7","1","0","023J.au","1","TGI Fridays","false",,
"663","7","1","0","212B.au","1","Davita","false",,
"664","7","1","0","213A.au","1","Ferguson Enterprises Snow","false",,
"665","7","1","0","211A.au","1","US Bank Snow","false",,
"670","7","1","0","25J.au","1","Office Max","false",,
"672","7","1","0","172A.au","1","You performed a Ice Control Only service
","false","671","1"
"673","7","1","0","025-1.au","2","Please confirm:<br>You performed a Ice Control Only service
","false",,
"674","7","1","0","172A.au","1","You performed a Full Plow service (including Ice Control)
","false","671","2"
"675","7","1","0","025-2.au","2","Please confirm:<br>You performed a Full Plow service (including Ice Control)
","false",,
"676","7","1","0","172A.au","1","No service is required today.
","false","671","8"
"677","7","1","0","025-8.au","2","Please confirm:<br>No service is required today.
","false",,
"678","7","1","0","172A.au","1","You performed an approved above scope hauling or stacking
","false","671","9"
"679","7","1","0","025-9.au","2","Please confirm:<br>You performed an approved above scope hauling or stacking
","false",,
"1175","7","1","0","174A.au","1","No service is required today.
","false","1168","8"
"1176","7","1","0","019-8.au","2","Please confirm:<br>No service is required today.
","false",,
"1177","7","1","0","174A.au","1","You have performed an approved above scope service
","false","1168","9"
"1178","7","1","0","019-9.au","2","Please confirm:<br>You have performed an approved above scope service
","false",,
"1179","7","1","0","019-Sub-1.au","1","You have performed a Ice Control Only service
","false","1169","1"
"1180","7","1","0","019-1-1.au","2","Please confirm:<br>You have performed a Ice Control Only service
","false",,
"1183","7","1","0","019-Sub-1-2.au","1","You have performed a 1"" push
","false","1181","1"
"1184","7","1","0","019-1-2-1.au","2","Please confirm:<br>You have performed a 1"" push
","false",,
